Unnamed: 0,date,description,original_description,amount,transaction_type,category,account_name,labels,notes,parent_category
0.0,9/7/19,Supp,C,29.8,credit,income,Westpac Choice,essential,,Income
1.0,8/7/19,Woo,W,26.94,debit,groceries,Earth Black World Mastercard,,,Food & Dining
2.0,8/7/19,Woo,W,21.28,debit,groceries,Earth Black World Mastercard,,,Food & Dining
,,,,,,,,,,
,,,,,,Loan Fees and Charg,,,,
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,,,,,
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,,,,,
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,Loan Fees and Charges,,,,Loans
,,,,,,,,,,
,,,,,,Vacation,,,,Travel
,,,,,,Veterinary,,,,Pets
,,,,,,Withdrawal,,,,Investments
,,,,,,Vacation,,,,Travel
,,,,,,Veterinary,,,,Pets
,,,,,,Withdrawal,,,,Investments
,,,,,,Vacation,,,,Travel
,,,,,,Veterinary,,,,Pets
